latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.808434,-74.0199,49.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),terrestrial_radiation (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),global_tilted_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),shortwave_radiation_instant (W/m²),global_tilted_irradiance (W/m²),direct_radiation_spread (W/m²)
1753488000,28.9,70,22.9,32.8,0.00,0.00,0.00,0.00,3,1013.2,1007.6,99,0.09,1.18,10.2,18.5,319,319,25.6,63.0,24.0,39.0,161.3,175.7,7.3,11.9,43.9,17.1,53.7,19.3,63.0,NaN
1753491600,28.9,71,23.1,33.2,0.00,0.00,0.00,0.00,3,1013.7,1008.1,97,0.06,1.16,8.9,15.0,297,299,20.9,1.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NaN
1753495200,28.2,74,23.1,32.6,0.00,0.00,0.00,0.00,2,1014.4,1008.8,55,0.03,0.99,8.1,15.7,313,320,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1753498800,27.8,76,23.2,32.5,0.00,0.00,0.00,0.00,3,1014.7,1009.1,99,0.02,0.90,6.1,12.2,320,327,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1753502400,27.2,76,22.7,31.3,0.00,0.00,0.00,0.00,3,1014.9,1009.3,99,0.03,0.86,8.7,17.1,326,330,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1753506000,26.6,76,22.0,30.2,0.00,0.00,0.00,0.00,3,1015.4,1009.7,100,0.03,0.84,9.0,18.2,345,349,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1753509600,25.9,78,21.8,29.2,0.00,0.00,0.00,0.00,3,1015.4,1009.7,92,0.03,0.73,10.3,19.9,2,6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1753513200,24.9,80,21.3,27.8,0.00,0.00,0.00,0.00,3,1015.5,1009.8,87,0.02,0.61,11.1,20.8,8,10,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1753516800,24.0,83,21.0,27.0,0.00,0.00,0.00,0.00,1,1015.8,1010.1,27,0.01,0.50,9.1,18.1,9,13,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
1753520400,23.5,85,20.9,26.6,0.00,0.00,0.00,0.00,1,1016.5,1010.8,47,0.01,0.42,8.5,17.4,18,24,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
