latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.808434,-74.0199,49.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_100m (°),wind_direction_10m (°),wind_gusts_10m (km/h),rain (mm),weather_code (wmo code),cloud_cover (%),cloud_cover_low (%),cloud_cover_high (%),cloud_cover_mid (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wet_bulb_temperature_2m (°C),is_day (),sunshine_duration (s),albedo (undefined),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),global_tilted_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
1722470400,24.6,85,22.0,28.2,0.00,9.0,17.0,201,203,17.3,0.00,1,24,2,8,15,0.05,0.45,22.7,1,2412.78,NaN,53.0,24.0,29.0,170.7,53.0,152.9,10.3,4.7,5.6,27.1,8.4,29.7
1722474000,26.4,74,21.5,30.1,0.00,6.7,13.9,253,234,10.4,0.00,0,0,0,0,0,0.04,0.88,22.9,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1722477600,25.4,78,21.3,29.0,0.00,6.1,14.8,273,267,12.6,0.00,0,7,0,0,7,0.01,0.71,22.4,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722481200,24.0,87,21.6,27.9,0.00,5.4,10.4,290,290,9.7,0.00,0,17,6,4,13,0.00,0.40,22.2,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722484800,23.7,87,21.5,27.7,0.00,4.7,10.4,284,261,7.9,0.00,0,2,0,0,2,0.00,0.37,22.1,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722488400,23.0,90,21.3,26.7,0.00,5.6,11.0,281,255,9.0,0.00,0,0,0,0,0,0.00,0.28,21.7,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722492000,22.4,93,21.1,26.0,0.00,5.6,12.6,283,255,9.4,0.00,0,0,0,0,0,0.00,0.20,21.5,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722495600,22.0,94,21.0,25.5,0.00,6.6,13.9,280,257,11.5,0.00,0,0,0,0,0,0.00,0.16,21.3,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722499200,21.4,96,20.7,25.0,0.00,4.4,10.9,287,261,11.2,0.00,0,0,0,0,0,0.00,0.11,20.9,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722502800,20.7,97,20.2,23.9,0.00,5.4,8.0,297,278,7.6,0.00,0,0,0,0,0,0.00,0.07,20.4,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722506400,20.4,97,19.9,23.4,0.00,5.8,6.7,306,292,7.6,0.00,0,0,0,0,0,0.00,0.07,20.0,1,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
1722510000,22.4,91,20.8,25.9,0.00,5.2,6.2,291,282,9.7,0.00,0,0,0,0,0,0.03,0.24,21.2,1,2301.67,NaN,52.0,27.0,25.0,203.8,52.0,131.3,101.3,52.6,48.7,296.3,75.6,255.7
1722513600,25.1,80,21.4,29.1,0.00,4.2,7.8,283,290,11.5,0.00,0,0,0,0,0,0.13,0.64,22.4,1,3600.00,NaN,205.0,140.0,65.0,488.9,205.0,380.2,271.5,185.4,86.1,647.5,271.5,503.6
1722517200,27.9,66,21.0,31.6,0.00,4.7,7.4,293,293,13.7,0.00,0,0,0,0,0,0.27,1.26,23.1,1,3600.00,NaN,386.0,299.0,87.0,639.0,386.0,621.4,456.7,353.8,102.9,756.0,456.7,735.2
1722520800,29.7,56,19.9,32.8,0.00,5.6,7.1,294,297,16.2,0.00,0,0,0,0,0,0.41,1.85,23.0,1,3600.00,NaN,559.0,457.0,102.0,723.9,559.0,838.3,623.4,509.7,113.8,807.4,623.4,934.9
1722524400,31.1,50,19.4,34.5,0.00,7.6,9.4,277,278,19.4,0.00,0,17,0,17,0,0.54,2.27,23.2,1,3600.00,NaN,707.0,596.0,111.0,778.9,707.0,1016.1,757.6,638.7,118.9,834.6,757.6,1088.9
1722528000,32.3,45,18.9,35.6,0.00,10.1,12.6,275,274,27.7,0.00,1,36,0,36,2,0.64,2.64,23.4,1,3600.00,NaN,812.0,693.0,119.0,805.2,812.0,1142.8,843.2,719.7,123.6,836.2,843.2,1186.8
1722531600,33.3,43,19.1,36.8,0.00,11.2,14.0,270,270,28.1,0.00,0,9,1,2,7,0.69,2.91,23.8,1,3600.00,NaN,851.0,723.0,128.0,793.6,851.0,1209.7,859.6,730.3,129.3,801.6,859.6,1221.9
1722535200,33.9,42,19.2,36.6,0.00,13.0,16.6,274,275,28.4,0.00,1,21,10,0,13,0.65,3.05,24.1,1,3600.00,NaN,758.0,613.0,145.0,671.5,758.0,1212.2,745.2,602.7,142.6,660.2,745.2,1191.8
1722538800,34.4,40,18.9,36.6,0.00,14.1,18.4,276,273,30.6,0.00,1,25,3,0,23,0.63,3.27,24.0,1,3600.00,NaN,715.0,552.0,163.0,637.3,715.0,1150.1,682.9,527.2,155.7,608.7,682.9,1098.5
1722542400,34.3,40,18.8,36.7,0.00,11.0,14.2,249,238,30.2,0.00,1,28,5,0,25,0.58,3.25,24.0,1,3600.00,NaN,669.0,526.0,143.0,679.7,669.0,1027.7,617.3,485.4,132.0,627.2,617.3,948.3
1722546000,32.3,50,20.5,34.2,0.00,14.8,18.4,186,183,30.6,0.00,2,56,6,0,56,0.44,2.42,24.2,1,3600.00,NaN,490.0,370.0,120.0,575.9,490.0,853.2,431.6,325.9,105.7,507.2,431.6,751.5
1722549600,30.7,61,22.2,33.5,0.00,15.3,21.3,168,165,33.5,0.00,1,37,6,0,37,0.30,1.74,24.7,1,3600.00,NaN,322.0,220.0,102.0,457.6,322.0,638.5,262.9,179.7,83.3,373.6,262.9,521.4
1722553200,29.7,67,23.0,33.4,0.00,12.1,20.9,161,150,29.9,0.00,0,8,0,0,8,0.18,1.36,24.9,1,3600.00,NaN,182.0,105.0,77.0,350.1,182.0,398.3,125.1,72.2,52.9,240.7,125.1,273.8
1722556800,27.6,76,22.9,31.4,0.00,10.9,20.5,169,153,22.3,0.00,0,14,0,4,10,0.07,0.89,24.2,1,2555.69,NaN,59.0,30.0,29.0,215.6,59.0,148.9,10.1,5.1,5.0,29.7,8.1,25.4
1722560400,26.0,83,22.9,30.6,0.00,5.5,9.7,184,148,13.0,0.00,1,34,7,0,32,0.03,0.56,23.7,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0
1722564000,25.8,83,22.8,30.3,0.00,5.8,10.0,206,180,9.4,0.00,1,40,4,13,28,0.00,0.56,23.6,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722567600,25.4,84,22.5,29.6,0.00,6.5,13.3,229,214,11.9,0.00,2,70,20,11,61,0.00,0.51,23.3,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722571200,26.3,77,21.9,30.9,0.00,2.2,7.0,258,99,10.8,0.00,2,51,0,15,43,0.00,0.79,23.1,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722574800,25.1,84,22.1,28.4,0.00,11.1,21.1,237,234,17.3,0.00,2,61,9,26,47,0.02,0.52,22.9,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722578400,24.7,81,21.2,28.6,0.00,4.0,6.7,286,355,20.5,0.00,1,42,2,6,42,0.00,0.59,22.2,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722582000,24.5,82,21.2,28.3,0.00,4.6,11.2,237,252,7.6,0.00,1,20,0,4,18,0.00,0.57,22.1,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722585600,24.2,83,21.2,27.8,0.00,5.8,8.9,220,248,8.6,0.00,3,81,0,81,1,0.00,0.50,22.0,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722589200,23.2,89,21.2,26.7,0.00,7.0,10.0,232,258,8.6,0.00,3,99,0,99,1,0.00,0.32,21.7,0,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1722592800,23.6,87,21.2,27.2,0.00,6.0,9.4,230,245,8.6,0.00,3,100,0,100,12,0.00,0.39,21.9,1,0.00,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9
1722596400,24.7,83,21.7,28.6,0.00,5.6,10.2,225,230,9.4,0.00,3,98,0,98,2,0.04,0.51,22.5,1,875.33,NaN,45.0,14.0,31.0,106.7,45.0,127.8,88.9,27.7,61.2,154.6,65.2,252.4
1722600000,26.1,77,21.8,30.3,0.00,4.2,8.7,218,211,11.9,0.00,1,20,0,18,2,0.12,0.76,23.0,1,3600.00,NaN,183.0,117.0,66.0,412.1,183.0,377.1,242.9,155.3,87.6,547.0,242.9,500.6
1722603600,26.2,77,21.8,30.1,0.00,6.3,12.8,158,149,18.7,0.00,3,98,6,96,61,0.20,0.80,23.0,1,3600.00,NaN,280.0,174.0,106.0,373.6,280.0,618.6,331.6,206.1,125.5,442.4,331.6,732.7
